token,pos_1,pos_2,match
A,DT,DET,False
really,RB,ADV,False
nice,JJ,ADJ,False
chill,JJ,ADJ,False
place,NN,NOUN,False
.,.,PUNCT,False
No,UH,INTJ,False
.,.,PUNCT,False
Everything,NN,PRON,False
that,WDT,DET,False
came,VBD,VERB,False
with,IN,ADP,False
the,DT,DET,False
meal,NN,NOUN,False
was,VBD,AUX,False
fantastic,JJ,ADJ,False
",",",",PUNCT,False
except,IN,SCONJ,False
for,IN,ADP,False
the,DT,DET,False
steak,NN,NOUN,False
.,.,PUNCT,False
Dr.,NNP,PROPN,False
Stone,NNP,PROPN,False
is,VBZ,AUX,False
awesome,JJ,ADJ,False
!,.,PUNCT,False
Very,RB,ADV,False
kid/,NN,NOUN,False
family,NN,NOUN,False
friendly,JJ,ADJ,False
.,.,PUNCT,False
We,PRP,PRON,False
got,VBD,VERB,False
the,DT,DET,False
carnitas,NNS,NOUN,False
burrito,NN,NOUN,False
wet,JJ,ADJ,False
and,CC,CCONJ,False
a,DT,DET,False
shredded,VBN,VERB,False
beef,NN,NOUN,False
chimichanga,NN,NOUN,False
and,CC,CCONJ,False
all,DT,DET,False
I,PRP,PRON,False
can,MD,AUX,False
say,VB,VERB,False
is,VBZ,VERB,False
this,DT,DET,False
food,NN,NOUN,False
lacks,VBZ,VERB,False
in,IN,ADP,False
flavor,NN,NOUN,False
.,.,PUNCT,False
